V0008	142	Real	1	1	0 60	Частота
V0009	144	Real	1	1	0 60	Частота
V0010	146	Real	1	1	0 60	Частота
V0011	148	Real	1	1	0 60	Частота
V0012	150	Real	1	1	0 60	Частота
V0013	152	Real	1	1	0 60	Частота
V0014	154	Real	1	1	0 60	Частота
V0015	156	Real	1	1	0 60	Частота
V0016	158	Real	1	1	0 60	Частота
V0017	160	Real	1	1	0 60	Частота
V0018	162	Real	1	1	0 60	Частота
V0019	164	Real	1	1	0 60	Частота
V0020	166	Real	1	1	0 60	Частота
V0021	168	Real	1	1	0 250	Струм
V0022	170	Real	1	1	0 250	Струм
V0023	172	Real	1	1	0 250	Струм
V0024	174	Real	1	1	0 200	Струм
V0025	176	Real	1	1	0 100	Струм
V0026	178	Real	1	1	0 100	Струм
V0027	180	Real	1	1	0 250	Струм
V0028	182	Real	1	1	0 200	Струм
V0029	184	Real	1	1	0 100	Струм
V0030	186	Real	1	1	0 250	Струм
V0031	188	Real	1	1	0 250	Струм
V0032	190	Real	1	1	0 250	Струм
V0033	192	Real	1	1	0 250	Струм
V0034	194	Real	1	1	0 40	Струм
V0035	196	Real	1	1	0 40	Струм
V0036	198	Real	1	1	0 250	Струм
V0037	200	Real	1	1	0 250	Струм
V0038	202	Real	1	1	0 250	Струм
V0039	204	Real	1	1	0 250	Струм
V0040	206	Real	1	1	0 400	Напруга
V0041	208	Real	1	1	0 400	Напруга
V0042	210	Real	1	1	0 400	Напруга
V0043	212	Real	1	1	0 400	Напруга
V0044	214	Real	1	1	0 400	Напруга
V0045	216	Real	1	1	0 400	Напруга
V0046	218	Real	1	1	0 400	Напруга
V0047	220	Real	1	1	0 400	Напруга
V0048	222	Real	1	1	0 400	Напруга
V0049	224	Real	1	1	0 400	Напруга
V0050	226	Real	1	1	0 400	Напруга
V0051	228	Real	1	1	0 400	Напруга
V0052	230	Real	1	1	0 400	Напруга
V0053	232	Real	1	1	0 400	Напруга
V0054	234	Real	1	1	0 400	Напруга
V0055	236	Real	1	1	0 400	Напруга
V0056	238	Real	1	1	0 400	Напруга
V0057	240	Real	1	1	0 400	Напруга
V0058	242	Real	1	1	0 2000	Витрата 2 категорії
V0059	244	Real	1	1	0 10	Тиск на другі категорії
V0060	246	Real	1	1	-
EC0001	247	Integer	1	1	-	Код помилки
EC0002	248	Integer	1	1	-	Код помилки
EC0003	249	Integer	1	1	-	Код помилки
EC0004	250	Integer	1	1	-	Код помилки
EC0005	251	Integer	1	1	-	Код помилки
EC0006	252	Integer	1	1	-	Код помилки
EC0007	253	Integer	1	1	-	Код помилки
EC0008	254	Integer	1	1	-	Код помилки
EC0009	255	Integer	1	1	-	Код помилки
EC0010	256	Integer	1	1	-	Код помилки
EC0011	257	Integer	1	1	-	Код помилки
EC0012	258	Integer	1	1	-	Код помилки
EC0013	259	Integer	1	1	-	Код помилки
EC0014	260	Integer	1	1	-	Код помилки
EC0015	261	Integer	1	1	-	Код помилки
EC0016	262	Integer	1	1	-	Код помилки
EC0017	263	Integer	1	1	-	Код помилки
EC0018	264	Integer	1	1	-	Код помилки
EC0019	265	Integer	1	1	-	Код помилки
EC0020	266	Integer	1	1	-	Код помилки
C0001	267	Real	1	1	0 100	Насос
C0002	269	Real	1	1	0 100
C0003	271	Real	1	1	0 100
C0004	273	Real	1	1	0 100
C0005	275	Real	1	1	0 100
C0006	277	Real	1	1	0 100
C0007	279	Real	1	1	0 100
C0008	281	Real	1	1	0 100
C0009	283	Real	1	1	0 100
C0010	285	Real	1	1	0 100
L0001	287	Bool	1	1	-
L0002	288	Bool	1	1	-
L0003	289	Bool	1	1	-
L0004	290	Bool	1	1	-
L0005	291	Bool	1	1	-
L0006	292	Bool	1	1	-
L0007	293	Bool	1	1	-
L0008	294	Bool	1	1	-
L0009	295	Bool	1	1	-
L0010	296	Bool	1	1	-
SP0001	512	Real	300	1	V0060	Завдання
SP0002	514	Real	300	1	-
SP0003	516	Real	300	1	-
SP0004	518	Real	300	1	-
Kp0001	520	Real	300	1	-
Kp0002	522	Real	300	0	-
Kp0003	524	Real	300	0	-
Kp0004	526	Real	300	0	-
Ti0001	528	Real	300	0	-
Ti0002	530	Real	300	0	-
Ti0003	532	Real	300	0	-
Ti0004	534	Real	300	0	-
Td0001	536	Real	300	0	-
Td0002	538	Real	300	0	-
Td0003	540	Real	300	0	-
Td0004	542	Real	300	0	-
Xmin0001	544	Real	300	0	-
Xmin0002	546	Real	300	0	-
Xmin0003	548	Real	300	0	-
Xmin0004	550	Real	300	0	-
Xmax0001	552	Real	300	0	-
Xmax0002	554	Real	300	0	-
Xmax0003	556	Real	300	0	-
Xmax0004	558	Real	300	0	-
AM0001	700	Bool	120	1	-
AM0002	701	Bool	120	1	-
AM0003	702	Bool	120	1	-
AM0004	703	Bool	120	1	-
mC0001	704	Bool	120	0	-
mC0002	705	Bool	120	0	-
mC0003	706	Bool	120	0	-
mC0004	707	Bool	120	0	-
